Timestamp,Temperature
Fri Apr 12 19:53:52 2024,23.25
Fri Apr 12 19:53:52 2024,23.25
Fri Apr 12 19:53:53 2024,23.50
Fri Apr 12 19:53:54 2024,23.25
Fri Apr 12 19:53:55 2024,23.00
Fri Apr 12 19:53:56 2024,23.50
Fri Apr 12 19:53:57 2024,23.75
Fri Apr 12 19:53:58 2024,23.75
Fri Apr 12 19:53:59 2024,24.25
Fri Apr 12 19:54:00 2024,24.50
Fri Apr 12 19:54:01 2024,24.75
Fri Apr 12 19:54:02 2024,24.75
Fri Apr 12 19:54:03 2024,25.00
Fri Apr 12 19:54:04 2024,24.75
Fri Apr 12 19:54:05 2024,25.25
Fri Apr 12 19:54:06 2024,25.50
Fri Apr 12 19:54:07 2024,25.75
Fri Apr 12 19:54:08 2024,25.75
Fri Apr 12 19:54:09 2024,26.00
Fri Apr 12 19:54:10 2024,25.50
Fri Apr 12 19:54:11 2024,26.25
Fri Apr 12 19:54:12 2024,26.25
Fri Apr 12 19:54:13 2024,26.25
Fri Apr 12 19:54:14 2024,26.25
Fri Apr 12 19:54:15 2024,26.00
Fri Apr 12 19:54:16 2024,26.25
Fri Apr 12 19:54:17 2024,26.00
Fri Apr 12 19:54:18 2024,25.50
Fri Apr 12 19:54:19 2024,25.25
Fri Apr 12 19:54:20 2024,25.25
Fri Apr 12 19:54:21 2024,24.75
Fri Apr 12 19:54:22 2024,24.75
Fri Apr 12 19:54:23 2024,24.50
Fri Apr 12 19:54:24 2024,24.50
Fri Apr 12 19:54:25 2024,24.75
Fri Apr 12 19:54:26 2024,24.75
Fri Apr 12 19:54:27 2024,25.00
Fri Apr 12 19:54:28 2024,25.00
Fri Apr 12 19:54:29 2024,24.00
Fri Apr 12 19:54:30 2024,24.25
Fri Apr 12 19:54:31 2024,24.75
Fri Apr 12 19:54:32 2024,24.50
Fri Apr 12 19:54:33 2024,25.00
Fri Apr 12 19:54:34 2024,25.00
Fri Apr 12 19:54:35 2024,25.25
Fri Apr 12 19:54:36 2024,24.75
Fri Apr 12 19:54:37 2024,25.25
Fri Apr 12 19:54:38 2024,25.25
Fri Apr 12 19:54:39 2024,25.00
Fri Apr 12 19:54:40 2024,25.25
Fri Apr 12 19:54:41 2024,25.25
Fri Apr 12 19:54:42 2024,25.25
Fri Apr 12 19:54:43 2024,25.25
Fri Apr 12 19:54:44 2024,25.50
Fri Apr 12 19:54:45 2024,25.25
Fri Apr 12 19:54:46 2024,25.50
Fri Apr 12 19:54:47 2024,25.50
Fri Apr 12 19:54:48 2024,25.00
Fri Apr 12 19:54:49 2024,25.25
Fri Apr 12 19:54:50 2024,24.75
Fri Apr 12 19:54:51 2024,25.00
Fri Apr 12 19:54:52 2024,24.75
Fri Apr 12 19:54:53 2024,25.25
Fri Apr 12 19:54:54 2024,25.25
Fri Apr 12 19:54:55 2024,25.25
